platform	month	eq. cross. time	node
AVN12	1991-10-01	19:31:53.358133	ascending
AVN12	1991-11-01	19:32:15.019178	ascending
AVN12	1991-12-01	19:32:32.529045	ascending
AVN12	1992-01-01	19:32:47.728810	ascending
AVN12	1992-02-01	19:33:01.354963	ascending
AVN12	1992-03-01	19:33:12.013528	ascending
AVN12	1992-04-01	19:33:22.965568	ascending
AVN12	1992-05-01	19:33:30.071490	ascending
AVN12	1992-06-01	19:33:36.475632	ascending
AVN12	1992-07-01	19:33:38.313416	ascending
AVN12	1992-08-01	19:33:40.710495	ascending
AVN12	1992-09-01	19:33:41.861569	ascending
AVN12	1992-10-01	19:33:40.056692	ascending
AVN12	1992-11-01	19:33:33.431829	ascending
AVN12	1992-12-01	19:33:22.423081	ascending
AVN12	1993-01-01	19:33:10.575604	ascending
AVN12	1993-02-01	19:32:56.555208	ascending
AVN12	1993-03-01	19:32:40.359032	ascending
AVN12	1993-04-01	19:32:20.225270	ascending
AVN12	1993-05-01	19:31:57.503914	ascending
AVN12	1993-06-01	19:31:32.897789	ascending
AVN12	1993-07-01	19:31:06.251476	ascending
AVN12	1993-08-01	19:30:37.495522	ascending
AVN12	1993-09-01	19:30:08.814684	ascending
AVN12	1993-10-01	19:29:37.429209	ascending
AVN12	1993-11-01	19:29:01.897551	ascending
AVN12	1993-12-01	19:28:22.092359	ascending
AVN12	1994-01-01	19:27:38.442818	ascending
AVN12	1994-02-01	19:26:52.168702	ascending
AVN12	1994-03-01	19:26:09.472923	ascending
AVN12	1994-04-01	19:25:19.586994	ascending
AVN12	1994-05-01	19:24:28.425331	ascending
AVN12	1994-06-01	19:23:33.333129	ascending
AVN12	1994-07-01	19:22:37.060203	ascending
AVN12	1994-08-01	19:21:39.454450	ascending
AVN12	1994-09-01	19:20:39.931799	ascending
AVN12	1994-10-01	19:19:39.482897	ascending
AVN12	1994-11-01	19:18:33.998126	ascending
AVN12	1994-12-01	19:17:26.586696	ascending
AVN12	1995-01-01	19:16:14.842104	ascending
AVN12	1995-02-01	19:14:59.748512	ascending
AVN12	1995-03-01	19:13:51.072383	ascending
AVN12	1995-04-01	19:12:33.559704	ascending
AVN12	1995-05-01	19:11:15.671400	ascending
