platform	month	eq. cross. time	node
NOAA12	1992-05-01	19:33:30.071490	ascending
NOAA12	1992-06-01	19:33:36.475632	ascending
NOAA12	1992-07-01	19:33:38.313416	ascending
NOAA12	1992-08-01	19:33:40.710495	ascending
NOAA12	1992-09-01	19:33:41.861569	ascending
NOAA12	1992-10-01	19:33:40.056692	ascending
NOAA12	1992-11-01	19:33:33.431829	ascending
NOAA12	1992-12-01	19:33:22.423081	ascending
NOAA12	1993-01-01	19:33:10.575604	ascending
NOAA12	1993-02-01	19:32:56.555208	ascending
NOAA12	1993-03-01	19:32:40.359032	ascending
NOAA12	1993-04-01	19:32:20.225270	ascending
NOAA12	1993-05-01	19:31:57.503914	ascending
NOAA12	1993-06-01	19:31:32.897789	ascending
NOAA12	1993-07-01	19:31:06.251476	ascending
NOAA12	1993-08-01	19:30:37.495522	ascending
NOAA12	1993-09-01	19:30:08.814684	ascending
NOAA12	1993-10-01	19:29:37.429209	ascending
NOAA12	1993-11-01	19:29:01.897551	ascending
NOAA12	1993-12-01	19:28:22.092359	ascending
NOAA12	1994-01-01	19:27:38.442818	ascending
NOAA12	1994-02-01	19:26:52.168702	ascending
NOAA12	1994-03-01	19:26:09.472923	ascending
NOAA12	1994-04-01	19:25:19.586994	ascending
NOAA12	1994-05-01	19:24:28.425331	ascending
NOAA12	1994-06-01	19:23:33.333129	ascending
NOAA12	1994-07-01	19:22:37.060203	ascending
NOAA12	1994-08-01	19:21:39.454450	ascending
NOAA12	1994-09-01	19:20:39.931799	ascending
NOAA12	1994-10-01	19:19:39.482897	ascending
NOAA12	1994-11-01	19:18:33.998126	ascending
NOAA12	1994-12-01	19:17:26.586696	ascending
NOAA12	1995-01-01	19:16:14.842104	ascending
NOAA12	1995-02-01	19:14:59.748512	ascending
NOAA12	1995-03-01	19:13:51.072383	ascending
NOAA12	1995-04-01	19:12:33.559704	ascending
NOAA12	1995-05-01	19:11:15.671400	ascending
NOAA12	1995-06-01	19:09:53.385047	ascending
NOAA12	1995-07-01	19:08:32.089295	ascending
NOAA12	1995-08-01	19:07:06.824281	ascending
NOAA12	1995-09-01	19:05:40.788569	ascending
NOAA12	1995-10-01	19:04:15.265831	ascending
NOAA12	1995-11-01	19:02:43.796801	ascending
NOAA12	1995-12-01	19:01:12.130495	ascending
NOAA12	1996-01-01	18:59:33.720207	ascending
NOAA12	1996-02-01	18:57:55.448779	ascending
NOAA12	1996-03-01	18:56:21.594713	ascending
NOAA12	1996-04-01	18:54:40.634560	ascending
NOAA12	1996-05-01	18:53:01.410353	ascending
NOAA12	1996-06-01	18:51:16.307947	ascending
NOAA12	1996-07-01	18:49:32.924498	ascending
NOAA12	1996-08-01	18:47:46.012842	ascending
NOAA12	1996-09-01	18:45:58.187837	ascending
NOAA12	1996-10-01	18:44:12.455562	ascending
NOAA12	1996-11-01	18:42:21.323843	ascending
NOAA12	1996-12-01	18:40:31.046195	ascending
NOAA12	1997-01-01	18:38:33.749061	ascending
NOAA12	1997-02-01	18:36:36.690239	ascending
NOAA12	1997-03-01	18:34:50.934013	ascending
NOAA12	1997-04-01	18:32:52.669610	ascending
NOAA12	1997-05-01	18:30:58.122300	ascending
NOAA12	1997-06-01	18:28:57.062003	ascending
NOAA12	1997-07-01	18:27:01.325207	ascending
NOAA12	1997-08-01	18:25:00.244122	ascending
NOAA12	1997-09-01	18:22:58.596703	ascending
NOAA12	1997-10-01	18:21:00.942130	ascending
NOAA12	1997-11-01	18:18:57.951859	ascending
NOAA12	1997-12-01	18:16:56.047694	ascending
NOAA12	1998-01-01	18:14:49.137986	ascending
NOAA12	1998-02-01	18:12:43.130183	ascending
NOAA12	1998-03-01	18:10:49.987420	ascending
NOAA12	1998-04-01	18:08:44.614378	ascending
NOAA12	1998-05-01	18:06:44.251650	ascending
NOAA12	1998-06-01	18:04:38.362586	ascending
NOAA12	1998-07-01	18:02:36.287834	ascending
NOAA12	1998-08-01	18:00:29.637513	ascending
NOAA12	1998-09-01	17:58:24.782574	ascending
NOAA12	1998-10-01	17:56:25.120927	ascending
NOAA12	1998-11-01	17:54:19.697195	ascending
NOAA12	1998-12-01	17:52:18.324187	ascending
NOAA14	1995-01-01	13:39:15.852318	ascending
NOAA14	1995-02-01	13:39:49.843999	ascending
NOAA14	1995-03-01	13:40:23.026477	ascending
NOAA14	1995-04-01	13:41:04.514499	ascending
NOAA14	1995-05-01	13:41:46.046771	ascending
NOAA14	1995-06-01	13:42:32.514104	ascending
NOAA14	1995-07-01	13:43:18.981140	ascending
NOAA14	1995-08-01	13:44:08.100536	ascending
NOAA14	1995-09-01	13:44:58.676325	ascending
NOAA14	1995-10-01	13:45:51.216353	ascending
NOAA14	1995-11-01	13:46:49.315918	ascending
NOAA14	1995-12-01	13:47:49.467843	ascending
NOAA14	1996-01-01	13:48:54.122754	ascending
NOAA14	1996-02-01	13:50:03.408712	ascending
NOAA14	1996-03-01	13:51:10.596784	ascending
NOAA14	1996-04-01	13:52:26.567618	ascending
NOAA14	1996-05-01	13:53:43.232050	ascending
NOAA14	1996-06-01	13:55:05.426667	ascending
NOAA14	1996-07-01	13:56:26.775568	ascending
NOAA14	1996-08-01	13:57:51.944221	ascending
NOAA14	1996-09-01	13:59:19.889903	ascending
NOAA14	1996-10-01	14:00:47.907989	ascending
NOAA14	1996-11-01	14:02:21.967141	ascending
NOAA14	1996-12-01	14:03:58.516548	ascending
NOAA14	1997-01-01	14:05:41.607965	ascending
NOAA14	1997-02-01	14:07:27.624985	ascending
NOAA14	1997-03-01	14:09:06.959672	ascending
NOAA14	1997-04-01	14:11:00.521843	ascending
NOAA14	1997-05-01	14:12:55.019343	ascending
NOAA14	1997-06-01	14:14:56.248128	ascending
NOAA14	1997-07-01	14:16:55.639781	ascending
NOAA14	1997-08-01	14:19:01.546109	ascending
