platform	month	eq. cross. time	node
AVN12	1993-09-01	07:30:00.477710	descending
AVN12	1993-11-01	07:28:52.422288	descending
AVN12	1994-01-01	07:27:28.820494	descending
AVN12	1994-02-01	07:26:53.522912	descending
AVN12	1994-03-01	07:26:02.487094	descending
AVN12	1994-05-01	07:24:16.448075	descending
AVN12	1994-06-01	07:23:34.580104	descending
AVN12	1994-08-01	07:21:19.754002	descending
AVN12	1994-10-01	07:19:40.310827	descending
AVN12	1994-11-01	07:18:28.427879	descending
AVN12	1995-01-01	07:16:01.327371	descending
AVN12	1995-02-01	07:15:00.138383	descending
AVN12	1995-03-01	07:13:47.233707	descending
AVN12	1995-05-01	07:11:00.138814	descending
AVN12	1995-06-01	07:09:52.719869	descending
AVN12	1995-08-01	07:06:49.097083	descending
AVN12	1995-09-01	07:05:24.920277	descending
AVN12	1995-11-01	07:02:41.221347	descending
AVN12	1996-02-01	06:57:54.004286	descending
AVN12	1996-05-01	06:52:43.557479	descending
AVN12	1996-07-01	06:49:32.004223	descending
AVN12	1996-08-01	06:47:30.293441	descending
AVN12	1996-10-01	06:44:08.893984	descending
AVN12	1996-11-01	06:42:20.872474	descending
AVN12	1997-02-01	06:36:32.597904	descending
AVN12	1997-03-01	06:34:51.285219	descending
AVN12	1997-04-01	06:32:39.253831	descending
AVN12	1997-07-01	06:27:02.020475	descending
AVN12	1997-10-01	06:20:54.039752	descending
AVN12	1997-11-01	06:18:58.756086	descending
AVN12	1998-02-01	06:12:35.945681	descending
AVN12	1998-04-01	06:08:34.657219	descending
AVN12	1998-07-01	06:02:37.196584	descending
AVN12	1998-08-01	06:00:20.473868	descending
AVN12	1998-09-01	05:58:04.714882	descending
AVN12	1998-12-01	05:52:10.215058	descending
AVN14	1995-01-01	13:39:15.852318	ascending
AVN14	1995-02-01	13:39:49.843999	ascending
AVN14	1995-03-01	13:40:23.026477	ascending
AVN14	1995-04-01	13:41:04.514499	ascending
AVN14	1995-05-01	13:41:46.046771	ascending
AVN14	1995-06-01	13:42:32.514104	ascending
AVN14	1995-07-01	13:43:18.981140	ascending
AVN14	1995-08-01	13:44:08.100536	ascending
AVN14	1995-09-01	13:44:58.676325	ascending
AVN14	1995-10-01	13:45:51.216353	ascending
AVN14	1995-11-01	13:46:49.315918	ascending
AVN14	1995-12-01	13:47:49.467843	ascending
AVN14	1996-01-01	13:48:54.122754	ascending
AVN14	1996-02-01	13:50:03.408712	ascending
AVN14	1996-03-01	13:51:10.596784	ascending
AVN14	1996-04-01	13:52:26.567618	ascending
AVN14	1996-05-01	13:53:43.232050	ascending
AVN14	1996-06-01	13:55:05.426667	ascending
AVN14	1996-07-01	13:56:26.775568	ascending
AVN14	1996-08-01	13:57:51.944221	ascending
AVN14	1996-09-01	13:59:19.889903	ascending
AVN14	1996-10-01	14:00:47.907989	ascending
AVN14	1996-11-01	14:02:21.967141	ascending
AVN14	1996-12-01	14:03:58.516548	ascending
AVN14	1997-01-01	14:05:41.607965	ascending
AVN14	1997-02-01	14:07:27.624985	ascending
AVN14	1997-03-01	14:09:06.959672	ascending
AVN14	1997-04-01	14:11:00.521843	ascending
AVN14	1997-05-01	14:12:55.019343	ascending
AVN14	1997-06-01	14:14:56.248128	ascending
AVN14	1997-07-01	14:16:55.639781	ascending
AVN14	1997-08-01	14:19:01.546109	ascending
AVN14	1997-09-01	14:21:07.920686	ascending
AVN14	1997-10-01	14:23:14.957154	ascending
AVN14	1997-11-01	14:25:30.089368	ascending
AVN14	1997-12-01	14:27:45.418248	ascending
AVN14	1998-01-01	14:30:08.993242	ascending
AVN14	1998-02-01	14:32:36.707715	ascending
AVN14	1998-03-01	14:34:54.265598	ascending
AVN14	1998-04-01	14:37:29.894259	ascending
AVN14	1998-05-01	14:40:05.213476	ascending
AVN14	1998-06-01	14:42:48.953235	ascending
AVN14	1998-07-01	14:45:29.595237	ascending
AVN14	1998-08-01	14:48:17.497464	ascending
AVN14	1998-09-01	14:51:08.241582	ascending
AVN14	1998-10-01	14:53:58.283901	ascending
AVN14	1998-11-01	14:56:57.155423	ascending
AVN14	1998-12-01	14:59:54.892417	ascending
AVN14	1999-01-01	15:03:03.455782	ascending
